ItemNum,Phase,Painting,Artist,Schedule,ConDir,ConName,ConCat,Block,Notes,Subj,Stimset,Stimsubset,Order
14,RecTest,Images/Schwartz/Schwartz4.jpg,Schwartz,Interleaved,Images/Context/nat/Devil's_Tower.jpg,Devil's Tower,nat,NA,NA,3,35,b,BF
12,RecTest,Images/Schlorff/Schlorff5.jpg,Schlorff,Interleaved,Images/Context/mm/Epcot_Center.jpg,Epcot Center,mm,NA,NA,3,35,b,BF
7,RecTest,Images/Schlorff/Schlorff3.jpg,Schlorff,Interleaved,Images/Context/nat/Red_Beach.jpg,Red Beach,nat,NA,NA,3,35,b,BF
10,RecTest,Images/Schlorff/Schlorff6.jpg,Schlorff,Interleaved,Images/Context/mm/Carnegie_Hall.jpg,Carnegie Hall,mm,NA,NA,3,35,b,BF
5,RecTest,Images/Grossman/Grossman1.jpg,Grossman,Interleaved,Images/Context/mm/Tower_of_Pisa.jpg,Tower of Pisa,mm,NA,NA,3,35,b,BF
9,RecTest,Images/Schlorff/Schlorff4.jpg,Schlorff,Interleaved,Images/Context/mm/Atomium.jpg,Atomium,mm,NA,NA,3,35,b,BF
16,RecTest,Images/Schwartz/Schwartz3.jpg,Schwartz,Interleaved,Images/Context/mm/Rock_and_Roll_Hall_of_Fame.jpg,Rock and Roll Hall of Fame,mm,NA,NA,3,35,b,BF
2,RecTest,Images/Grossman/Grossman2.jpg,Grossman,Interleaved,Images/Context/nat/Bryce_Canyon.jpg,Bryce Canyon,nat,NA,NA,3,35,b,BF
6,RecTest,Images/Grossman/Grossman3.jpg,Grossman,Interleaved,Images/Context/mm/Eiffel_Tower.jpg,Eiffel Tower,mm,NA,NA,3,35,b,BF
8,RecTest,Images/Schlorff/Schlorff2.jpg,Schlorff,Interleaved,Images/Context/nat/Carlsbad_Caverns.jpg,Carlsbad Caverns,nat,NA,NA,3,35,b,BF
11,RecTest,Images/Schlorff/Schlorff1.jpg,Schlorff,Interleaved,Images/Context/nat/Amazon_River.jpg,Amazon River,nat,NA,NA,3,35,b,BF
17,RecTest,Images/Schwartz/Schwartz1.jpg,Schwartz,Interleaved,Images/Context/mm/Gateway_Arch.jpg,Gateway Arch,mm,NA,NA,3,35,b,BF
13,RecTest,Images/Schwartz/Schwartz6.jpg,Schwartz,Interleaved,Images/Context/mm/Space_Needle.jpg,Space Needle,mm,NA,NA,3,35,b,BF
15,RecTest,Images/Schwartz/Schwartz2.jpg,Schwartz,Interleaved,Images/Context/nat/Himalayas.jpg,Himalayas,nat,NA,NA,3,35,b,BF
4,RecTest,Images/Grossman/Grossman4.jpg,Grossman,Interleaved,Images/Context/nat/Yellowstone.jpg,Yellowstone,nat,NA,NA,3,35,b,BF
3,RecTest,Images/Grossman/Grossman6.jpg,Grossman,Interleaved,Images/Context/mm/Boston_Common.jpg,Boston Common,mm,NA,NA,3,35,b,BF
1,RecTest,Images/Grossman/Grossman5.jpg,Grossman,Interleaved,Images/Context/nat/Arashiyama_Bamboo_Forest.jpg,Arashiyama Bamboo Forest,nat,NA,NA,3,35,b,BF
18,RecTest,Images/Schwartz/Schwartz5.jpg,Schwartz,Interleaved,Images/Context/nat/Zion_Subway.jpg,Zion Subway,nat,NA,NA,3,35,b,BF
